occupation_code,occupation_title,occupation_group,sub_occupation_count,employment_count,employment_share_pct,pay_median_monthly,skill_level,education_proxy,demand_index,demand_label,description
01,Commissioned Armed Forces Officers,Armed Forces Occupations,1,300000,,55000.0,4,Bachelor's degree; military academy training (NDA/IMA/OTA),20,portal-derived demand proxy,"Plan, direct and coordinate military operations in the army, navy, air force or other armed services branches. They hold ranks from lieutenant / sub-lieutenant upward."
02,Non-commissioned Armed Forces Officers,Armed Forces Occupations,1,500000,,35000.0,2,Higher secondary; military training,18,portal-derived demand proxy,"Supervise and lead small units of enlisted military personnel. Responsibilities include enforcing discipline, training troops and ensuring operational readiness."
03,"Armed Forces Occupations, Other Ranks",Armed Forces Occupations,1,900000,,25000.0,1,Secondary education (10th pass),22,portal-derived demand proxy,"Perform military duties at the enlisted level including guard duties, weapons handling, vehicle operation and participation in military exercises and combat operations."
11,"Chief Executives, Senior Officials and Legislators",Managers,1,3000000,,80000.0,4,Postgraduate degree or equivalent; MBA/MPA common,15,portal-derived demand proxy,"Determine and formulate policies, direct and plan the activities of enterprises, governments and other organisations, or manage them on their own behalf or on behalf of shareholders."
12,Administrative and Commercial Managers,Managers,1,5500000,,60000.0,4,Bachelor's or postgraduate degree in business/management,35,portal-derived demand proxy,"Plan, organise, direct, control and coordinate the financial, administrative, human resource, policy, planning, research, marketing and advertising activities of enterprises."
13,Production and Specialised Services Managers,Managers,1,5200000,,55000.0,4,Bachelor's degree in engineering/technology or relevant field,40,portal-derived demand proxy,"Plan, direct and coordinate production activities in agriculture, forestry, manufacturing, mining, construction, transport, health, education, ICT and other specialised services."
14,"Hospitality, Retail and Other Services Managers",Managers,1,6000000,,45000.0,4,Bachelor's degree in hotel management/business; diploma acceptable,45,portal-derived demand proxy,"Plan, organise, direct, control and coordinate the activities of commercial enterprises providing hospitality, retail, sport, recreation and other consumer services."
21,Science and Engineering Professionals,Professionals,1,4000000,,45000.0,4,Bachelor's or Master's in science/engineering (B.Tech/M.Tech/M.Sc),65,portal-derived demand proxy,"Conduct research, improve or develop concepts and theories, and apply scientific and engineering knowledge in fields such as physics, chemistry, mathematics, statistics and engineering."
22,Health Professionals,Professionals,1,3500000,,50000.0,4,MBBS/BDS/BAMS/BHMS or equivalent professional degree; postgraduate specialization common,55,portal-derived demand proxy,"Conduct research, diagnose and treat human illnesses and disorders, and provide related services. Includes medical doctors, dentists, pharmacists, nursing and midwifery professionals, and traditional medicine practitioners."
23,Teaching Professionals,Professionals,1,8500000,,35000.0,4,Bachelor's degree + B.Ed; Master's/PhD for higher education,40,portal-derived demand proxy,Teach the theory and practice of one or more disciplines at various educational levels from primary and secondary schools to universities. Includes special education teachers and other education professionals.
