nco_code,employment_count,avg_monthly_earnings,sector,employment_type,coverage_period
01,300000,55000,combined,all,Jul 2023 - Jun 2024
02,500000,35000,combined,all,Jul 2023 - Jun 2024
03,900000,25000,combined,all,Jul 2023 - Jun 2024
11,3000000,80000,combined,all,Jul 2023 - Jun 2024
12,5500000,60000,combined,all,Jul 2023 - Jun 2024
13,5200000,55000,combined,all,Jul 2023 - Jun 2024
14,6000000,45000,combined,all,Jul 2023 - Jun 2024
21,4000000,45000,combined,all,Jul 2023 - Jun 2024
22,3500000,50000,combined,all,Jul 2023 - Jun 2024
23,8500000,35000,combined,all,Jul 2023 - Jun 2024
24,4000000,42000,combined,all,Jul 2023 - Jun 2024
25,3300000,60000,combined,all,Jul 2023 - Jun 2024
26,2000000,30000,combined,all,Jul 2023 - Jun 2024
31,3500000,25000,combined,all,Jul 2023 - Jun 2024
32,2500000,22000,combined,all,Jul 2023 - Jun 2024
33,4500000,28000,combined,all,Jul 2023 - Jun 2024
34,1800000,20000,combined,all,Jul 2023 - Jun 2024
35,1800000,35000,combined,all,Jul 2023 - Jun 2024
41,3500000,18000,combined,all,Jul 2023 - Jun 2024
42,3000000,16000,combined,all,Jul 2023 - Jun 2024
43,3000000,22000,combined,all,Jul 2023 - Jun 2024
44,1700000,15000,combined,all,Jul 2023 - Jun 2024
51,18000000,12000,combined,all,Jul 2023 - Jun 2024
52,30000000,14000,combined,all,Jul 2023 - Jun 2024
53,8400000,10000,combined,all,Jul 2023 - Jun 2024
54,11000000,18000,combined,all,Jul 2023 - Jun 2024
61,85000000,9000,combined,all,Jul 2023 - Jun 2024
62,12000000,10000,combined,all,Jul 2023 - Jun 2024
63,32300000,6000,combined,all,Jul 2023 - Jun 2024
71,20000000,14000,combined,all,Jul 2023 - Jun 2024
72,15000000,16000,combined,all,Jul 2023 - Jun 2024
73,5500000,12000,combined,all,Jul 2023 - Jun 2024
74,10000000,18000,combined,all,Jul 2023 - Jun 2024
75,16900000,13000,combined,all,Jul 2023 - Jun 2024
81,12000000,16000,combined,all,Jul 2023 - Jun 2024
82,5300000,14000,combined,all,Jul 2023 - Jun 2024
83,22000000,20000,combined,all,Jul 2023 - Jun 2024
91,30000000,8000,combined,all,Jul 2023 - Jun 2024
92,75000000,6500,combined,all,Jul 2023 - Jun 2024
93,42000000,9000,combined,all,Jul 2023 - Jun 2024
94,12000000,7500,combined,all,Jul 2023 - Jun 2024
95,16500000,7000,combined,all,Jul 2023 - Jun 2024
96,10000000,6000,combined,all,Jul 2023 - Jun 2024
